平成２３年４月１日から平成２４年３月31日までの分,,,,,,,,,,,
入札日,執行課名,事業担当課名,工事・業務番号,工事・業務名,工事場所,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式
20110518,日高地域振興部,森林整備課,平成２３年度　復旧　第４号－１,復旧治山事業設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　大字寒川字板垣内　地内　　　,（株）日進コンサルタント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,954,050","1,435,744","1,753,500",7,一般競争入札
20110518,日高地域振興部,森林整備課,平成２３年度　復旧　第４号－２,復旧治山事業設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　大字寒川字日浦長下　地内　　　　,（有）成和測量設計事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,278,900","978,216","1,186,500",7,一般競争入札
20110518,日高地域振興部,森林整備課,平成２３年度　復旧　第２号－２,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　大字田尻字本谷　地内　　　,（株）川端組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"18,675,300","15,547,801","15,596,700",25,一般競争入札
20110518,日高地域振興部,森林整備課,平成２３年度　奥地保安林　第４号－１,奥地保安林保全緊急整備事業設計業務委託　　　　　　　　　　　　　　　　　　　　,日高郡　印南町　大字　田ノ垣内字ヒキリギ　地内　,（有）成和測量設計事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,096,200","816,228","997,500",7,一般競争入札
20110518,日高地域振興部,森林整備課,平成２３年度　奥地保安林　第２号－１,奥地保安林保全緊急整備事業設計業務委託　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　大字熊野川字野々川　地内　　,（株）日進コンサルタント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,424,850","1,049,234","1,323,000",7,一般競争入札
20110511,那賀地域振興部,森林整備課,平成２２年度　国債　復旧　第１号－１,復旧治山那賀測量設計業務委託,紀の川市　切畑　字葛城地内　　　　　　　,（株）キワコンサルタント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"918,750","711,585","716,625",13,一般競争入札
20110421,西牟婁地域振興部,農業農村整備課,平成２２年度　中山間　第１号－１４,日向地区ほ場幹線道路工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　上芳養　地内　　　　　　　　,（有）畔田園　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"12,243,000","10,606,277","10,608,392",16,一般競争入札
20110421,西牟婁地域振興部,農業農村整備課,平成２２年度　中山間　第１号－１５,日向地区畑地かんがい施設設計業務　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　上芳養　地内　　　　　　　　,（有）牟測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"987,000","762,316","863,100",12,一般競争入札
20110407,西牟婁地域振興部,農業農村整備課,平成２２年度　中山間　第１号－１３,日向地区ほ場園内整備その６工事　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　上芳養　地内　　　　　　　　,日高建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"8,011,500","6,730,762","6,777,750",13,一般競争入札
20110404,海草地域振興部,農業農村整備課,平成２２年度　ため池等　第１１号－１,慶権寺池洪水吐改修付帯工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,海南市　鳥居　地内　　　　　　　　,（株）井上工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,081,500","910,233","1,050,000",2,一般競争入札
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
